Cement ,Blast Furnace Slag ,Fly Ash ,Water  ,Superplasticizer ,Coarse Aggregate  ,Fine Aggregate ,Concrete Compressive Strength
288.0,192.0,0.0,192.0,0.0,932.0,717.8,16.10960674
249.1,0.0,98.75,158.11,12.8,987.76,889.01,15.361525279999999
290.35,0.0,96.18,168.08,9.41,961.18,865.0,22.50449664
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,33.79811352
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,13.12072828
289.0,0.0,0.0,192.0,0.0,913.2,895.3,11.654902304
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,30.44726016
393.0,0.0,0.0,192.0,0.0,940.0,758.0,19.10537996
446.0,24.0,79.0,162.0,11.61,967.0,712.0,35.36322404
153.0,102.0,0.0,192.0,0.0,888.0,943.1,4.782205536
359.0,19.0,141.0,154.0,10.91,942.0,801.0,25.11662571527068
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,13.54130864
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,21.91154728
284.0,15.0,141.0,179.0,5.46,842.0,801.0,13.395533715270679
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,7.3153403599999995
424.0,22.0,132.0,168.0,8.92,822.0,750.0,32.109882284729316
250.2,166.8,0.0,203.5,0.0,977.6,694.1,9.731264264
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,23.80071152
250.0,0.0,95.69,191.84,5.33,948.9,857.2,8.48744956
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,10.0318758
331.0,0.0,0.0,192.0,0.0,978.0,825.0,13.52062436
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,17.57474324
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,18.01600788
203.5,305.3,0.0,203.5,0.0,963.4,630.0,9.561653168
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,13.18278112
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,12.45193656
192.0,288.0,0.0,192.0,0.0,929.8,716.1,12.788400847999998
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,14.306626999999999
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,15.049192651999999
295.71,0.0,95.64,171.54,8.87,955.14,859.2,22.94576128
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,24.40055564
198.6,132.4,0.0,192.0,0.0,978.4,825.5,9.131420144
439.0,177.0,0.0,186.0,11.1,884.9,707.9,39.300132
166.8,250.2,0.0,203.5,0.0,975.6,692.6,6.902344236
236.0,0.0,0.0,194.0,0.0,968.0,885.0,6.467284879999999
133.0,200.0,0.0,192.0,0.0,927.4,839.2,6.883728383999999
424.0,22.0,132.0,178.0,8.48,882.0,750.0,32.01138571527068
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,12.63809508
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,12.5484632
491.0,26.0,123.0,201.0,3.93,822.0,699.0,29.54897143054136
387.0,20.0,94.0,157.0,14.32,938.0,845.0,22.752708
141.3,212.0,0.0,203.5,0.0,971.8,748.5,4.827710952
480.0,0.0,0.0,192.0,0.0,936.0,721.0,24.39366088
362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,23.07676172
200.0,133.0,0.0,192.0,0.0,965.4,806.2,11.414275179999999
425.0,106.3,0.0,153.5,16.5,852.1,887.1,33.398217439999996
359.0,19.0,141.0,154.0,10.91,942.0,801.0,23.639177145812038
307.0,0.0,0.0,193.0,0.0,968.0,812.0,12.541568439999999
